City,Year,AQI,CO2_Emissions,Green_Cover_Loss,Water_Consumption,Energy_Usage,Waste_Generated,Recycling_Rate,Population_Growth,Industrial_Expansion
Delhi,2022,231,21.29,4.97,354.22,7259.58,1.1,16.11,0.95,11.92
London,2020,51,28.44,4.23,394.93,1789.4,2.38,49.66,2.33,6.33
New York,2007,296,34.17,2.58,432.91,7696.15,3.42,70.76,1.29,7.6
New York,2003,175,31.31,1.36,113.21,4074.62,3.26,42.96,1.83,12.24
Delhi,2000,120,22.78,0.57,118.56,7211.17,3.18,19.49,1.7,1.22
Tokyo,2004,265,12.97,4.11,364.51,6520.78,2.81,79.77,4.3,4.78
Delhi,2006,106,40.35,0.38,398.64,4020.7,0.9,62.74,0.64,11.07
Los Angeles,2010,274,25.63,3.89,455.57,7020.87,2.74,31.66,4.04,7.3
Chicago,2017,192,5.19,0.89,272.3,5904.4,1.26,30.93,2.1,10.31
Tokyo,2023,156,31.34,4.8,482.09,2588.94,1.63,88.13,1.06,2.74
New York,2010,166,14.13,3.61,222.29,4824.35,2.1,79.78,0.53,7.59
Houston,2013,62,46.81,2.73,323.51,1080.37,3.45,54.34,2.55,13.17
New York,2004,179,21.03,1.69,461.06,8114.0,2.92,25.2,2.4,5.82
Sydney,2017,211,20.75,2.17,460.36,3570.37,2.76,35.04,4.15,1.44
Phoenix,2023,131,31.3,2.94,287.92,1416.62,0.56,81.09,1.99,7.68
Phoenix,2010,135,13.81,4.3,141.92,1162.56,0.56,15.35,3.67,4.69
Houston,2019,55,49.77,1.56,352.88,3623.05,1.52,12.34,4.39,7.29
Houston,2013,94,38.54,1.88,381.49,4501.45,1.77,23.94,1.66,3.52
Beijing,2003,172,34.19,2.78,287.33,7232.52,1.76,12.5,3.98,9.06
Delhi,2000,52,31.49,3.8,427.29,8767.25,2.17,14.02,0.96,6.2
Houston,2002,111,10.13,1.22,196.38,9246.49,1.88,43.92,4.17,12.95
Chicago,2022,254,40.82,3.54,197.88,4973.61,2.13,67.5,3.21,9.69
Beijing,2007,131,18.2,2.11,361.08,3257.32,3.28,73.77,3.62,4.86
Houston,2024,98,12.48,2.81,316.6,5484.23,3.45,56.66,4.95,6.31
Sydney,2011,150,21.69,2.73,173.6,7458.42,2.26,57.43,0.98,6.04
Delhi,2017,87,24.98,2.67,499.46,4441.68,1.21,14.9,3.67,10.47
Tokyo,2006,57,40.49,0.28,173.21,9134.49,2.68,61.33,3.88,10.71
Tokyo,2024,51,18.24,4.36,425.11,2564.04,1.79,46.4,0.79,1.61
Beijing,2009,141,14.15,3.44,269.14,1672.34,1.37,29.51,1.88,5.69
Tokyo,2016,64,30.75,0.68,64.01,7272.24,1.82,14.86,2.79,14.29
London,2005,203,19.15,4.89,59.85,1543.44,3.26,14.34,3.25,8.47
Houston,2007,155,32.43,1.26,82.4,9582.49,2.24,39.33,0.51,6.73
Los Angeles,2011,210,13.72,2.97,246.39,1530.55,3.23,27.25,3.5,9.53
London,2022,198,32.91,4.06,273.85,3232.71,3.05,12.43,1.33,9.31
Chicago,2019,264,21.1,3.15,398.1,1837.89,2.99,47.29,1.12,7.76
Tokyo,2023,210,39.06,3.07,124.94,3253.68,2.67,49.98,3.89,11.9
Tokyo,2016,239,46.96,0.56,474.84,3705.07,0.71,71.98,1.79,8.15
Chicago,2005,236,34.28,3.26,398.71,4248.24,2.44,53.31,1.08,9.18
Sydney,2003,108,15.81,3.24,442.68,4728.96,2.75,84.54,4.27,5.54
Houston,2000,151,15.68,1.02,498.86,4353.38,0.93,58.52,3.7,12.45
Sydney,2000,161,9.61,1.04,358.92,6816.46,0.6,76.61,1.1,5.06
Chicago,2004,163,27.48,1.5,125.33,2212.69,2.91,42.58,3.33,3.64
Houston,2006,133,19.24,4.09,53.4,1672.86,1.86,48.23,2.01,10.33
Phoenix,2017,126,7.57,2.75,488.31,4571.45,0.55,76.2,3.78,12.69
Phoenix,2006,190,13.52,3.63,275.49,9521.65,2.65,57.06,4.05,3.25
Phoenix,2012,176,24.53,1.37,449.61,9348.27,2.28,88.8,1.4,12.83
Houston,2000,204,47.5,3.32,125.15,2950.11,0.77,28.02,3.33,10.09
Delhi,2012,152,33.58,3.4,406.99,3131.5,2.65,24.49,3.21,7.25
Los Angeles,2020,153,22.77,2.9,231.84,3539.14,3.36,37.96,2.16,11.41
London,2004,234,27.89,0.24,124.72,6201.2,2.09,46.6,1.33,9.56
Houston,2008,145,46.0,4.76,308.75,2773.63,2.62,51.62,3.29,8.73
Tokyo,2014,78,44.44,1.67,404.99,3331.85,2.5,72.8,1.23,6.27
Delhi,2009,74,30.21,3.08,305.97,1710.21,1.58,46.24,4.69,5.92
Chicago,2007,191,21.42,0.85,343.91,5328.35,3.23,17.74,4.62,10.75
Los Angeles,2022,222,22.01,1.06,233.66,8154.09,2.86,14.46,4.15,7.37
London,2012,217,13.19,2.01,137.76,5535.82,2.58,46.42,1.13,11.29
London,2004,221,42.14,4.58,338.47,2335.38,2.17,20.29,2.38,3.77
New York,2021,182,11.15,0.29,412.8,4855.48,1.94,26.72,4.86,10.66
Tokyo,2009,283,38.63,1.71,103.68,9879.15,2.83,35.73,4.35,6.09
Sydney,2002,157,35.93,2.63,369.69,9882.48,2.78,69.68,3.89,12.09
Los Angeles,2000,250,26.22,2.72,107.26,4445.49,2.71,43.09,4.71,10.8
Delhi,2024,126,27.89,3.8,444.65,3668.18,1.45,68.44,4.15,3.45
Delhi,2000,285,46.43,4.02,399.09,6319.71,2.84,81.01,4.15,13.33
Sydney,2013,54,20.35,4.23,169.12,4983.09,3.43,68.81,1.09,7.99
Phoenix,2012,270,35.76,4.6,288.37,8840.61,1.51,52.78,2.57,12.61
Los Angeles,2001,278,37.16,3.65,142.99,1436.19,2.39,85.55,2.92,14.91
Chicago,2018,201,42.63,3.6,419.02,7672.35,1.59,73.04,4.15,12.27
Phoenix,2016,117,20.33,2.08,143.28,2813.69,2.73,38.49,1.59,5.28
Delhi,2019,165,25.4,1.03,285.77,5055.82,1.59,55.99,0.55,8.21
Houston,2007,54,16.03,3.98,285.76,4196.16,1.82,45.04,3.44,3.01
Houston,2011,206,21.62,4.95,326.34,3468.35,0.98,28.79,1.27,8.96
Sydney,2005,146,29.25,4.85,202.58,9895.35,1.95,57.2,2.52,1.09
Beijing,2000,177,49.23,1.78,446.9,2931.75,2.91,74.96,2.86,10.53
Houston,2016,271,31.8,1.28,278.18,1163.99,1.34,87.37,0.97,2.14
Chicago,2006,300,47.31,3.17,101.49,8999.8,0.54,17.88,4.3,1.18
New York,2004,195,27.39,0.79,99.42,7829.35,2.45,73.23,1.06,1.65
London,2016,250,25.11,3.0,327.89,6117.55,1.67,72.69,2.91,10.91
Phoenix,2013,200,24.71,3.15,437.27,3124.03,1.82,47.15,2.19,4.34
Beijing,2023,194,43.86,2.07,361.69,7463.72,1.28,12.91,2.96,12.6
Houston,2024,274,20.9,3.73,394.85,6133.87,1.46,19.36,4.92,14.5
Sydney,2005,285,44.94,0.8,136.67,5569.42,1.29,57.39,0.76,12.42
New York,2020,60,34.1,1.76,399.7,2096.63,2.77,77.6,1.07,3.93
Tokyo,2008,268,9.56,0.39,346.25,8898.93,2.53,20.84,0.86,14.66
New York,2016,96,10.46,0.2,214.76,1232.75,2.03,53.25,0.64,3.77
Los Angeles,2020,77,9.89,3.54,335.51,4934.58,2.32,29.14,1.67,1.88
Chicago,2012,86,48.47,2.05,260.04,6143.58,3.22,39.95,0.99,9.27
New York,2001,290,31.29,4.88,329.05,9674.22,1.93,26.56,0.63,13.66
Phoenix,2004,154,47.83,1.45,183.9,7399.92,1.82,61.87,0.52,1.7
London,2007,230,38.37,4.52,84.23,4015.89,1.16,10.62,2.69,5.88
Phoenix,2018,223,13.18,1.61,475.06,1830.91,2.73,83.33,3.73,8.89
Tokyo,2019,247,40.24,0.99,494.96,8565.6,2.11,40.91,3.92,13.46
Beijing,2016,107,11.27,2.21,190.41,5682.17,1.92,23.56,4.17,12.9
Chicago,2009,221,32.19,3.48,450.97,2029.76,1.37,29.86,1.92,2.71
Sydney,2022,231,25.42,0.53,285.09,2929.7,1.6,58.16,3.2,6.99
Sydney,2012,300,21.61,2.78,94.9,6966.86,2.65,54.21,2.79,7.93
Beijing,2023,266,15.3,1.79,329.44,6141.82,1.15,48.98,2.38,13.63
Beijing,2001,93,41.57,4.9,355.08,3698.31,1.36,86.81,2.16,8.21
Phoenix,2016,177,42.64,0.97,429.54,1713.65,1.0,79.56,4.02,1.4
Delhi,2024,273,37.05,3.83,435.06,4198.92,1.9,46.13,2.42,1.88
London,2009,73,20.77,0.16,497.42,4971.68,1.75,83.06,1.86,5.89
London,2003,129,17.06,0.23,299.83,1311.89,2.23,78.28,0.61,14.14
Los Angeles,2024,285,42.52,3.44,360.81,5379.63,1.78,74.51,2.72,9.3
Tokyo,2002,59,40.66,4.6,402.73,2550.53,3.01,10.84,2.25,12.65
Sydney,2013,272,14.88,0.96,479.76,4697.68,0.83,36.43,4.56,5.06
Delhi,2013,270,9.31,4.86,204.91,6517.0,3.48,89.45,3.08,7.42
Tokyo,2021,73,12.49,4.16,472.35,2832.26,2.57,25.43,0.86,12.09
Phoenix,2012,237,12.4,0.87,172.41,4017.11,1.36,73.48,4.23,1.06
New York,2009,134,11.74,1.19,68.67,9862.31,2.96,16.03,3.25,10.59
Tokyo,2010,248,16.25,0.27,132.52,5705.29,1.21,15.87,3.43,6.87
Beijing,2005,283,17.39,3.81,129.45,2116.49,0.62,76.46,2.24,2.58
Beijing,2006,238,35.43,0.37,92.82,9652.35,3.27,73.11,2.39,9.06
Tokyo,2002,205,35.62,4.68,127.35,1909.58,2.04,52.48,1.5,4.89
Phoenix,2016,93,10.05,1.63,441.25,5578.81,2.87,79.09,1.55,13.16
Tokyo,2011,196,37.9,4.97,267.6,9781.56,2.49,88.2,4.25,3.06
Chicago,2013,64,29.21,1.35,123.03,4392.04,2.47,40.99,4.36,13.24
Los Angeles,2007,102,42.81,4.62,76.27,6252.49,3.2,31.84,3.86,11.28
Houston,2010,240,40.57,1.45,382.73,4278.22,3.0,27.47,1.98,12.49
Tokyo,2024,206,29.45,4.13,365.22,3741.64,2.72,12.52,4.11,6.5
Los Angeles,2022,183,45.2,0.54,239.82,9589.32,1.16,23.32,2.1,1.67
London,2015,229,30.29,4.1,433.23,8712.06,2.86,40.52,4.9,1.88
London,2013,216,35.64,3.35,444.79,5652.52,1.13,75.16,2.41,8.62
Tokyo,2001,60,48.34,2.58,126.44,3042.36,2.74,13.2,3.61,6.62
Phoenix,2022,285,23.36,3.97,137.69,5830.17,3.01,26.2,2.12,12.71
London,2012,184,32.58,1.24,420.22,5475.88,1.68,37.34,4.64,8.12
Sydney,2021,150,7.12,2.88,384.69,2052.43,0.84,68.0,4.87,12.43
London,2018,206,19.71,3.7,172.06,4394.25,2.45,35.23,2.94,1.81
Delhi,2018,122,22.23,4.99,223.1,7409.76,2.12,40.77,4.39,5.37
Houston,2022,181,26.99,3.01,68.62,4970.05,0.59,20.95,4.73,9.22
Chicago,2010,179,6.48,0.75,355.72,5397.97,2.42,22.87,0.59,11.45
Houston,2007,120,13.17,4.23,255.51,9960.15,2.75,64.42,3.62,6.5
Tokyo,2020,108,25.49,2.52,371.38,7323.91,1.21,30.31,2.82,6.44
London,2020,122,47.13,3.71,480.16,8479.77,1.5,88.08,4.13,12.15
Delhi,2018,232,24.72,1.72,165.87,1728.27,2.24,71.77,1.42,7.17
New York,2004,97,25.65,3.25,456.4,8499.98,0.68,67.09,3.04,12.47
Delhi,2020,241,18.66,2.12,491.75,3702.6,1.06,23.15,1.67,6.0
Houston,2014,288,19.72,1.25,128.08,4494.04,3.32,33.98,4.04,1.14
Chicago,2007,162,40.49,4.24,156.21,7469.77,2.11,44.5,1.16,10.73
London,2000,75,5.02,2.49,338.25,2757.02,3.28,60.17,1.48,3.08
Houston,2000,111,44.82,4.06,322.29,1435.97,1.7,15.63,2.49,3.98
Delhi,2012,179,16.97,0.17,444.72,8876.14,2.96,45.96,4.06,14.63
Los Angeles,2022,60,45.49,1.63,400.09,3287.49,1.12,26.36,3.92,5.26
Delhi,2022,123,36.77,2.78,92.21,1538.47,3.35,69.87,2.15,7.77
Beijing,2013,63,26.36,1.76,378.16,6502.15,1.37,37.3,2.76,3.96
Delhi,2007,193,9.48,1.64,417.98,9282.11,3.03,69.88,1.53,13.48
Tokyo,2022,127,14.95,0.16,464.5,4642.22,2.71,79.9,1.02,6.73
Los Angeles,2011,81,14.67,2.94,98.97,9507.84,2.79,54.64,0.7,4.19
Tokyo,2023,69,20.55,0.41,323.91,9629.82,2.64,51.9,2.46,5.09
Sydney,2006,101,30.83,1.82,213.93,7489.69,1.1,69.85,2.55,6.29
Delhi,2022,224,26.86,0.41,455.46,9917.89,1.03,55.28,1.99,14.6
Phoenix,2011,201,40.7,3.63,420.16,2416.95,1.22,79.67,2.1,8.43
Los Angeles,2022,212,7.55,3.92,207.54,3481.61,0.54,54.76,3.44,8.8
Houston,2008,122,44.72,2.49,387.64,3531.77,2.65,77.93,0.74,12.33
Chicago,2010,218,19.85,3.46,56.43,2779.53,1.06,51.59,0.72,8.27
Phoenix,2010,230,34.58,2.37,147.44,9979.3,2.74,36.87,4.24,7.76
Delhi,2017,249,13.12,2.48,297.22,9780.94,1.02,73.85,2.14,12.49
Houston,2019,196,35.92,2.23,139.38,7922.45,1.87,26.82,2.61,9.64
New York,2000,79,20.55,4.9,51.61,6761.33,1.83,30.68,3.65,9.82
Delhi,2009,50,16.03,0.24,93.42,2999.13,1.94,68.46,0.87,5.0
Chicago,2008,175,5.39,2.33,463.62,6220.8,2.7,87.12,2.54,14.91
Los Angeles,2007,92,6.43,2.16,214.77,1592.77,2.9,88.88,2.82,13.22
Los Angeles,2024,104,48.19,0.95,234.51,4537.44,1.7,79.35,1.17,14.28
London,2014,220,5.33,3.65,459.7,1285.51,2.94,50.94,0.76,2.83
Phoenix,2008,175,10.12,1.18,290.1,1904.81,0.87,31.46,4.0,11.23
Houston,2003,245,17.76,1.35,129.62,6987.12,0.74,87.12,1.8,5.66
Sydney,2007,174,35.61,4.61,348.98,3493.64,2.97,37.8,1.72,8.02
Houston,2004,212,40.77,4.64,433.55,4171.48,2.63,71.22,3.71,14.12
New York,2016,60,33.6,1.74,448.91,5328.16,1.37,29.96,4.34,8.52
Houston,2016,62,29.14,2.84,162.38,1645.26,3.1,13.12,1.95,14.81
Los Angeles,2015,127,42.05,4.56,447.02,5984.36,3.45,78.03,3.68,4.79
Delhi,2018,225,5.21,3.95,210.68,8929.21,3.27,79.52,4.15,10.64
New York,2012,220,18.78,4.85,97.03,7175.07,1.45,10.52,4.43,14.04
Chicago,2013,168,23.38,2.37,87.59,3187.28,1.68,38.19,4.94,1.31
Los Angeles,2005,66,43.15,1.28,146.15,1026.93,3.24,75.67,2.03,12.8
Beijing,2008,146,46.55,3.66,445.71,7805.23,2.95,75.75,2.93,5.72
Chicago,2019,295,13.22,0.87,277.17,1638.27,2.15,70.04,2.92,8.61
New York,2002,64,20.89,1.49,266.39,5952.27,3.3,76.05,1.26,10.55
Sydney,2016,230,25.43,2.19,187.86,1257.82,2.88,54.86,4.49,6.17
Phoenix,2015,69,29.38,0.97,121.56,6096.55,2.71,18.51,1.89,5.7
Tokyo,2020,253,15.81,3.43,96.23,5134.38,2.86,38.23,1.82,12.89
London,2012,290,33.22,3.13,399.01,4913.25,3.05,15.18,4.96,9.83
Chicago,2003,168,21.28,3.58,426.48,8610.3,2.74,66.5,1.76,1.2
Los Angeles,2019,204,34.79,3.9,220.81,9361.18,1.7,40.95,0.91,3.72
Beijing,2011,79,17.8,0.24,417.3,1224.66,1.54,64.29,3.8,9.95
Sydney,2016,75,46.03,1.15,476.62,3367.58,2.21,16.77,4.81,14.93
Chicago,2003,72,21.22,3.52,480.5,7378.95,2.0,73.51,3.65,14.05
Tokyo,2002,154,6.7,4.34,324.12,1475.62,2.07,65.56,1.78,10.51
London,2003,259,25.23,2.76,231.1,5770.73,0.84,26.66,0.84,1.38
London,2022,176,46.0,3.45,235.89,4984.07,2.9,21.35,2.26,6.15
Phoenix,2014,56,6.51,4.35,499.91,8854.13,2.08,33.17,4.31,2.74
Sydney,2014,291,11.73,0.36,353.84,1701.11,1.02,29.33,0.79,5.93
Chicago,2021,121,12.46,3.66,438.31,9073.79,0.62,32.36,4.79,1.55
Delhi,2003,299,22.26,4.41,78.58,9112.37,0.96,62.51,4.05,3.61
New York,2004,50,5.74,3.84,218.6,6984.93,1.76,15.47,4.29,12.49
Houston,2020,278,5.06,4.91,475.0,1156.53,1.96,63.19,2.39,13.33
New York,2013,190,36.08,1.38,264.4,2990.9,0.88,26.47,0.94,5.21
London,2022,290,17.8,1.27,314.06,8461.55,3.21,32.28,1.06,4.48
Phoenix,2013,134,18.89,1.07,109.07,1514.68,1.88,77.22,4.62,6.58
Los Angeles,2005,184,38.39,4.87,297.45,3128.14,2.74,23.32,1.6,14.74
Delhi,2001,194,39.26,0.63,234.31,1297.35,1.58,17.45,4.47,2.47
Delhi,2024,248,42.45,3.86,440.7,3477.84,1.26,27.58,3.99,5.33
New York,2015,173,37.46,4.37,146.2,7843.36,2.35,67.69,3.78,8.01
Tokyo,2015,224,5.82,4.79,299.6,4096.13,3.31,28.58,4.44,7.15
Phoenix,2023,238,18.26,0.68,321.3,5246.74,0.83,59.71,4.27,13.76
Beijing,2005,189,18.39,3.65,416.05,4458.66,2.31,18.71,1.41,10.25
Sydney,2014,204,20.28,3.39,147.61,5189.26,1.75,19.37,1.47,1.24
New York,2021,74,31.11,1.21,82.07,3451.73,3.31,26.7,4.81,11.71
Chicago,2008,112,48.46,0.19,453.07,8074.8,1.32,16.7,0.95,7.15
Los Angeles,2023,257,48.25,1.83,365.63,3473.28,2.91,79.38,2.03,1.12
Phoenix,2012,73,47.42,1.08,100.67,6387.11,0.91,17.48,1.51,13.54
Chicago,2020,294,41.51,1.8,268.78,1957.31,2.8,29.74,3.91,8.5
Tokyo,2006,149,14.64,1.98,120.7,8117.74,1.47,54.29,3.7,6.77
Tokyo,2002,67,39.95,0.45,151.67,4271.52,1.25,79.95,0.76,14.1
London,2004,160,21.9,4.12,409.48,8944.7,2.13,32.9,3.36,9.42
Sydney,2013,275,31.37,3.65,442.08,2576.22,1.92,86.86,1.46,14.9
Beijing,2001,108,37.45,3.83,280.26,6649.38,2.94,66.42,0.63,10.0
Beijing,2003,146,18.7,0.18,135.64,1173.71,3.42,16.72,3.41,6.44
London,2014,197,11.41,4.65,441.71,6342.09,3.14,35.14,4.06,10.89
London,2013,289,35.68,1.03,331.91,6038.13,0.75,51.57,2.82,7.68
Beijing,2004,107,11.61,4.45,356.96,6868.44,2.74,30.53,0.93,7.63
Chicago,2014,196,9.49,3.67,495.44,3477.88,2.4,55.38,1.76,5.53
Houston,2023,299,23.23,1.31,52.85,9718.41,2.06,73.89,2.89,4.29
Tokyo,2016,147,6.39,1.53,391.24,1988.17,1.52,39.19,3.24,14.27
London,2000,169,42.8,2.41,487.25,5152.56,3.24,78.94,0.95,10.39
London,2007,158,46.13,4.78,420.59,4919.79,3.32,30.54,4.29,13.57
Houston,2017,52,41.39,0.11,252.21,6640.45,1.39,45.68,3.17,5.07
Chicago,2000,130,25.65,4.95,124.08,1935.45,2.56,83.26,3.05,3.63
Delhi,2000,200,24.06,1.51,442.69,4758.62,1.2,61.94,3.36,1.65
Phoenix,2002,157,36.61,2.21,111.95,9708.86,1.22,21.93,3.83,10.75
Beijing,2020,280,16.9,4.25,331.52,8787.63,0.9,83.37,0.75,13.78
London,2022,198,48.71,2.26,188.64,7719.57,0.84,15.2,4.94,13.66
London,2022,243,47.33,2.51,450.52,3493.59,2.22,60.21,2.11,9.72
London,2006,255,40.33,0.15,339.02,1699.16,3.49,79.23,2.76,5.6
Houston,2004,102,25.83,3.94,472.71,1490.74,1.83,21.72,2.74,7.56
Houston,2022,80,49.72,3.34,165.05,3747.14,1.14,27.31,0.75,10.23
New York,2005,111,22.58,0.14,225.72,3939.04,2.11,84.19,1.31,11.98
Beijing,2004,259,28.04,4.3,387.97,8831.98,1.82,24.42,2.46,3.34
Sydney,2019,95,40.18,1.41,374.0,3666.26,3.38,46.12,2.1,6.02
Tokyo,2015,144,25.68,2.47,162.82,6595.28,0.64,61.11,1.38,10.81
New York,2012,237,19.85,1.31,418.11,5606.83,2.55,69.95,4.2,8.88
London,2024,228,7.57,3.32,277.13,4092.62,2.13,84.73,3.4,4.8
Delhi,2004,233,25.28,4.67,448.8,2054.36,2.05,50.59,4.87,7.09
Chicago,2017,243,18.06,3.58,73.89,7963.95,2.94,16.7,4.38,1.67
Tokyo,2004,111,25.61,1.56,113.32,2078.38,3.34,55.09,3.91,12.59
Los Angeles,2022,296,14.77,4.64,383.49,4221.7,2.79,44.36,2.67,14.9
Phoenix,2007,60,43.25,1.74,301.3,2254.91,3.07,48.34,2.55,10.3
Sydney,2014,244,37.93,1.49,249.26,7080.5,1.01,87.45,3.71,12.52
Chicago,2000,238,43.86,2.5,287.74,2394.94,0.94,86.64,3.13,11.05
Tokyo,2014,141,37.67,2.6,381.44,9386.94,1.17,88.3,2.99,14.72
Sydney,2008,277,6.24,1.42,313.48,7071.85,2.08,14.0,4.66,3.99
London,2015,297,11.05,3.59,266.02,5341.49,1.88,57.23,2.28,11.06
London,2009,245,16.27,0.33,184.93,4677.2,1.1,72.87,2.81,13.5
Los Angeles,2001,194,12.43,0.34,439.72,4849.56,1.96,33.32,3.77,12.41
Los Angeles,2006,166,14.66,3.47,319.96,1272.63,1.3,28.35,3.12,3.75
Chicago,2003,94,41.01,2.12,92.25,9631.03,3.0,76.85,2.29,12.55
Beijing,2000,286,9.54,3.6,144.42,3849.68,2.21,33.14,2.63,5.39
Sydney,2009,113,31.67,2.97,50.84,4580.41,3.19,73.86,2.35,1.61
Chicago,2010,232,37.88,2.29,406.15,5665.9,3.19,12.02,2.65,11.47
Beijing,2010,260,17.28,4.58,416.16,4017.94,2.68,26.52,3.79,7.58
Tokyo,2006,202,30.14,0.38,258.66,7767.43,3.39,56.35,2.52,6.48
Sydney,2006,189,25.54,1.85,170.72,3472.31,3.07,63.17,4.03,10.36
New York,2002,278,6.33,0.26,97.94,2029.57,0.88,59.12,2.31,3.57
Los Angeles,2016,263,11.23,4.76,317.29,4413.08,1.77,16.28,1.07,3.68
Phoenix,2023,289,45.6,1.31,483.44,9346.96,1.06,59.95,1.64,8.89
Tokyo,2021,115,47.96,0.6,125.41,7481.03,1.25,64.0,2.97,8.01
Delhi,2007,190,43.12,2.81,317.99,9851.3,1.72,48.77,2.59,8.67
Los Angeles,2009,271,17.62,3.61,273.9,8455.12,1.88,89.83,4.85,8.58
Houston,2024,182,41.7,2.55,124.77,3963.75,1.86,11.43,0.92,2.93
Houston,2011,199,18.57,2.46,319.02,9472.61,2.18,75.11,1.86,7.27
Chicago,2009,127,39.09,2.97,80.71,7650.85,3.32,63.21,1.28,4.77
Phoenix,2003,178,31.72,1.61,387.77,7739.49,2.17,11.95,3.54,6.35
Beijing,2023,70,45.54,0.52,68.19,7844.61,1.47,77.39,1.44,10.45
Beijing,2018,218,27.72,2.48,240.93,4325.95,1.33,22.66,3.01,6.06
Tokyo,2009,213,43.72,4.73,87.96,9482.66,0.99,32.92,1.45,11.78
Delhi,2023,288,40.83,3.34,136.25,1662.18,2.55,25.0,4.63,11.21
Tokyo,2021,292,29.83,1.69,495.65,4401.95,2.88,15.56,4.57,13.31
Phoenix,2016,247,33.81,2.38,96.34,8860.63,2.83,46.61,3.83,10.23
Delhi,2013,79,46.2,0.83,204.3,2098.97,2.83,55.95,2.63,13.7
Chicago,2010,134,46.35,1.74,209.66,6443.32,3.48,68.56,4.84,7.93
Delhi,2020,165,28.15,4.43,482.9,2129.7,1.25,61.07,1.2,6.0
Tokyo,2003,73,20.05,4.88,140.83,4753.21,2.42,28.4,4.9,12.72
Tokyo,2008,89,17.19,4.99,484.02,3228.04,0.53,49.86,3.57,5.18
Los Angeles,2021,137,17.44,2.93,159.02,3063.71,2.97,42.79,1.84,14.47
London,2009,125,30.97,3.15,407.59,6538.1,0.81,81.69,1.29,4.08
Houston,2012,136,5.18,4.21,246.34,5691.89,2.82,56.18,4.03,4.26
Phoenix,2014,211,14.03,2.31,62.12,4629.79,2.53,35.12,3.32,5.39
New York,2001,283,33.28,0.4,308.69,5348.69,3.11,31.22,2.07,9.95
New York,2013,174,41.33,2.22,380.58,2541.6,2.16,66.31,4.98,6.6
Tokyo,2005,290,43.76,0.2,440.94,3597.71,1.8,70.22,3.41,6.17
Phoenix,2009,221,38.36,3.17,307.18,3873.39,2.45,30.79,1.85,12.0
New York,2001,92,5.08,1.85,360.8,1102.91,1.79,57.87,3.31,12.3
Houston,2011,104,28.95,4.46,307.46,3633.87,2.98,42.15,3.61,11.75
Delhi,2014,237,36.45,3.98,229.42,9093.78,2.14,78.11,0.91,7.38
Tokyo,2003,233,10.85,2.35,361.53,3700.73,2.7,45.55,1.31,13.75
Beijing,2011,89,38.33,1.09,160.45,7221.63,1.79,18.33,2.77,13.42
New York,2002,143,6.09,3.44,380.26,8577.25,1.01,68.36,1.35,3.81
Houston,2018,255,24.11,3.75,142.71,6323.67,2.82,71.53,4.9,8.74
Chicago,2002,220,25.27,0.13,104.56,6845.76,2.33,54.86,4.11,5.53
Chicago,2006,298,6.56,1.09,281.63,5606.91,0.99,31.08,1.42,5.34
Beijing,2018,191,46.48,0.85,448.77,5519.19,0.53,75.2,4.03,13.62
Phoenix,2020,189,39.73,1.39,76.16,1150.9,2.42,53.23,3.15,9.69
Delhi,2006,77,24.67,3.58,297.43,6355.27,0.65,12.36,4.82,5.6
Sydney,2006,284,21.65,0.59,327.97,3816.49,2.08,63.46,0.58,1.5
Phoenix,2000,165,49.52,1.03,399.79,3917.58,1.38,57.68,3.99,2.52
London,2013,94,30.47,4.29,486.57,3510.81,2.83,87.92,0.62,10.31
Delhi,2011,78,44.71,1.85,236.93,3083.05,2.01,81.78,2.01,10.83
Chicago,2001,61,28.12,0.24,140.11,1355.38,1.8,87.79,4.2,13.91
London,2004,117,23.68,3.61,441.95,2249.29,3.09,54.77,3.12,12.43
Sydney,2001,284,47.39,2.36,447.79,6406.09,2.07,71.96,2.38,3.22
Houston,2004,73,38.74,1.4,437.98,7905.61,1.66,12.87,3.4,3.33
Houston,2021,95,45.33,1.28,435.13,8119.06,2.59,76.68,4.38,6.75
Houston,2022,227,35.72,1.06,126.18,8423.59,2.52,78.55,0.83,2.19
Sydney,2021,158,43.63,3.06,440.7,4578.95,3.31,16.2,3.4,14.05
Tokyo,2010,286,37.84,1.58,312.85,2971.58,2.57,69.3,1.42,2.84
Phoenix,2007,209,40.0,4.71,490.81,1194.73,1.7,89.67,0.79,7.6
Phoenix,2015,256,47.74,0.17,83.67,4662.47,1.33,68.77,0.77,3.49
London,2016,235,11.4,1.38,321.38,5627.28,2.45,30.23,1.85,2.82
London,2001,267,21.75,3.95,53.35,2699.39,2.95,63.66,3.06,3.7
Los Angeles,2002,109,5.99,0.26,302.2,8393.64,2.22,11.61,0.72,2.59
London,2006,300,28.63,2.53,116.58,9123.39,0.76,87.99,0.9,2.27
Beijing,2011,110,21.35,4.02,233.98,7387.17,2.67,32.36,3.84,11.51
Los Angeles,2014,78,19.42,0.29,273.41,3833.36,2.86,34.37,1.02,4.45
Los Angeles,2001,248,23.16,1.49,357.67,2509.62,2.56,77.89,3.94,8.66
London,2024,57,23.49,0.41,71.42,1194.76,1.48,31.23,4.93,1.23
Houston,2024,201,21.03,1.8,181.29,7926.72,2.79,26.45,1.59,6.74
New York,2011,246,24.76,2.08,493.4,6314.93,2.33,29.13,1.2,2.67
